,Id,Sentiment,Text Tweet,Clean Text Sentiment Film
0,1,negative,Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah,jelek film si ernest mutu banget actingnya film sampah
1,2,negative,Film king Arthur ini film paling jelek dari seluruh cerita King Arthur ,film king arthur film jelek cerita king arthur
2,3,negative,@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya,beexkuanlin film kasar bapak
3,4,negative,Ane ga suka fast and furious..menurutku kok jelek ya tu film,suka fast and furiousmenurutku jelek film
4,5,negative,"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v",baekhyun tau film nya bilang perang perang perang rupiah yaoi ambigu v
5,6,negative,tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!,tolong editingnya bagus kecewa film indonesia tunggu film
6,7,negative,"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.",kecewa salah aktor dukung nista agama sabar tonton film
7,8,negative,Kecewa parah sama film the guys. Dear @radityadika sorry to say this.,kecewa parah film the guys dear radityadika sorry say this
8,9,negative,Banyak yg kecewa abis nonton film ini :(,kecewa habis nonton film
9,10,negative,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.,themummy film memgecewakan hidup berekspektasi suka banget mesir kuno
10,11,negative,"film jelek, jelas. Ga ada isinya. ",film jelek isi
11,12,negative,awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( ,nonton film indonesia bioskop kartini critical eleven gambar kartini ale anya lemah
12,13,negative,"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi",nonton film kartini miris jaman jaman bangsa bodoh serakah gila kawin ironis celotehpagi
13,14,negative,"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol",ngomong ngomong danur jelek banget tonton hans hansdavidian meantweets film tertawa
14,15,negative,"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny.",film kartini singkat tonton baca biografi kartini bingung emang baca bukuny
15,16,negative,"Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya",habis nonton the guys kecewa nonton film banding film anjlok
16,17,negative,Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.,nonton film alien kecewa ragu nonton
17,18,negative,satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p,satusatunya rugi nonton film aksi aktor jelek p
18,19,negative,Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.,film bilang baguskelompoknya kasih harga nonton jelek
19,20,negative,"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek.",sudah hidup singkat dihabisken tonton film jelek
20,21,negative,"Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan.",film king arthur jelek bagus cenderung mudah lupa
21,22,negative,"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga ",jelek jelek film dimension rilis akting
22,23,negative,duh ini film ribet banget ...,film ribet banget
23,24,negative,"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?",durasi film alur datar criticaleleven selesai
24,25,negative,"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri ",adegan potong rusak film
25,26,negative,"baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah.",selesai nonton film goal turun kualitas film nya drastis parah
26,27,negative,Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter,film beda buku bikin kecewa teman ngajak nonton black bulter
27,28,negative,ogah nonton lagi saya. Kecewa ama itu film ,nonton kecewa film
28,29,negative,"Kecewa berat sama film Power Rangers, dibawah ekspektasi banget ",kecewa berat film power rangers bawah ekspektasi banget
29,30,negative,Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu,bahas film angkat novel bikin film puas
30,31,negative,"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat.",sebenernya salah akting prilly film danur oke oke cerita kuat
31,32,negative,"Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan.",habis nonton film balap mobil itutertidur menit lelah bosan
32,33,negative,The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy,the mummy film aneh tengah film mummy
33,34,negative,"Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan.",aneh film besut marvel postcredit scene nyakaya film habis tontonlogan
34,35,negative,Film norak!!!! ,film norak
35,36,negative,adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(,film critical eleven rusak image ale anya kepala
36,37,negative,"#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian",factrica suka filmfilm romantis endingnya jadi
37,38,negative,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual,balik novel angkat film sesungguhny campur tangan produser sok tau embel jual
38,39,negative,karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! ,hormat laku si dian sastro film hambar mutu
39,40,negative,sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar,sebnarnya film bgussayangnya aktor n aktris rusia film trsa hambar
40,41,negative,Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.,nol bikin film perempuan seksi bumbu cinta hambar
41,42,negative,"1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+",insidious creepy bikin tegang film datar pengaruh
42,43,negative,Ini gue nonton film homo aja rumit bener,nonton film homo rumit bener
43,44,negative,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget,sayang banget film lokal bagus budgetnya layar tonton batas banget sayang banget
44,45,negative,Film macam apa ini? Nonton nya bikin gue menderita -_-,film nonton nya bikin derita
45,46,negative,jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...,nonton the mummy bilang film nya bagus bioskop sesal
46,47,negative,"Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC ",malam nonton film pagi download malam langsung nonton begadang hasil kecewa
47,48,negative,"Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius.",takut kecewa nonton film danur takut sesuai ekspetasi buku berfikir serius
48,49,negative,Nonton alien : covenant di @cinema21 mall @MciMall kaya nonton bajakan parah ada yg di SKIP mati mati jelek parah!!!! Film bagus jadi jelek ,nonton alien covenant cema mall mcimall nonton baja parah skip mati mati jelek parah film bagus jelek
49,50,negative,"gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas",orang jarang banget film indonesiakrn kecewa buat film totalitas
50,51,negative,"Awalnya agak ragu mau nonton, karena kebanyakan kecewa waktu nonton film dari adaptasi novel",ragu nonton banyak kecewa nonton film adaptasi novel
51,52,negative,Sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku. Biasanya malah kecewa :(,berekspektasi film angkat buku kecewa
52,53,negative,Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy,tidur kecewa film nya hufy
53,54,negative,"Sama, ane juga kecewa ma nih film, padahal udah lama nungguin",kecewa film
54,55,negative,Ka @selliyamanto udah nonton #MembabiButa? Agak kecewa nonton film tu,ka selliyamanto nonton membabibuta kecewa nonton film
55,56,negative,Jenuh nonton film... hambar,jenuh nonton film hambar
56,57,negative,sesal di dada nonton ini film...,sesal dada nonton film
57,58,negative,"Netizen membatalkan nonton film ""Kartini"" gara-gara kelakuan @therealDiSastr. http://bit.ly/2o2iRPY",netizen batal nonton film kartini garagara laku therealdisastr
58,59,negative,"film jelek, jelas. Ga ada isinya.",film jelek isi
59,60,negative,Itu film makin aneh ajaa ?,film aneh
60,61,negative,"Agak aneh film terbaru Conan, baru kali ini gk spektakuler. Tp openingnya hancurin gedung sih",aneh film baru conan kali spektakuler openingnya hancurin gedung
61,62,negative,"@askmenfess Film yang bikin emosional, bener-bener nyedot emosi.",askmenfess film bikin emosional benerbener emosi
62,63,negative,@pandji @InsyaAllahSah Film busuk dan artis dungu merusak bhineka,pandji insyaallahsah film busuk artis dungu rusak bhineka
63,64,negative,"Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi",kecewa plot cerita film the guys critanya akan lompat proses visual bikin erti amira suka alf
64,65,negative,jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. https://t.co/eDoiFuS8P5,jijik banget film pas kelinci gede nightmare parah
65,66,negative,"bnyak yg bilang film Mummy jelek, pdahl pengen nonton",bnyak bilang film mummy jelek pdahl nonton
66,67,negative,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini",bilang film jelek daur ulang gagal imdb ratattote ratingnya anjlok turut suka film
67,68,negative,Naruto adalah film paling bodoh ke-8 haha #faktanya #quote,naruto film bodoh haha fakta quote
68,69,negative,Gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi. Tp kalimat inspiratifnya kurang banyak hehehe,ekspektasinya film kuat narasi jadiin motivasi kalimat inspiratifnya hehehe
69,70,negative,Film e hambar,film e hambar
70,71,negative,"Film The Mummy menurut gue gak sesuai harapan, agak agak gimana gitu filmnya, weird. Dan bukan film tipe bang tom seperti biasanya -_-""",film the mummy sesuai harap film weird film tipe bang tom
71,72,negative,yah kirain film baru wkwk penonton kecewaa,kirain film wkwk tonton kecewaa
72,73,negative,"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih.",bilang jelek bilang film teman filmya bagus bkin teman maju
73,74,negative,"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" ..",habis nonton king arthur temen pesan nonton loh film jelek percaya pesan unsur
74,75,negative,Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.,kadang gampang nilai film jelek ketimbang nilai film bagus
75,76,negative,Ini film apa dah. Baru mulai udh bgni-_- jijk,film bgni jijk
76,77,negative,"Film Kartini menang pd pemain"" film yg kelas atas yg sudah punya nama. Tapi ceritany kurang dapat dan kurang riset menurut saya.",film kartini menang pd main film kelas nama ceritany riset
77,78,negative,"Entah aku yg kurang belajar sejarah apa gimana, tapi entah kenapa konflik yg ditampilkan di film Kartini kaya kurang memenuhi ekspektasi aja",ajar sejarah konflik tampil film kartini penuh ekspektasi
78,79,negative,"Film itu kalau byk di sensor, rasanya g ada, hambar",film sensor hambar
79,80,negative,Semoga ga busuk kyk film yg pertama,moga busuk film
80,81,negative,Flm apa ini :) arah dan tujuannya nggak jelas.. Nyesel download ! Sabar... Ini ujian ! — menonton Hangout Film,flm arah tuju sesal download sabar uji tonton hangout film
81,82,negative,Hari ini nonton film terasa; hambarr,nonton film hambarr
82,83,negative,Kurang mengerti sama film nya the mummy..,erti film nya the mummy
83,84,negative,Kecewa banyak deh pkoknya.. Setidaknya mslh jam tayang bs aja ngertiin tp klu film di cut itu yg g bs dingertiin #KaulahTakdirkuMembelamu,kecewa deh pokok jam tayang ngertiin film cut dingertiin kaulahtakdirkumembelamu
84,85,negative,"Pernah novel favorit di filmkan & hasilnya bikin kecewa parah. Tp dari teaser #CriticalEleven saya yakin, team CE serius sama film ini",novel favorit film hasil bikin kecewa parah teaser criticaleleven team ce serius film
85,86,negative,"Intinya, kmren kecewa bgt sama @cinema21 krna mmbiarkan anak kecil nnton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven",inti kemarin kecewa banget cema mmbiarkan anak nonton film dewasa jam tayang malam wib criticaleleven
86,87,negative,Aduh! Film bagian ini jijk parah,aduh film jijk parah
87,88,negative,Kecewa parah nnton film the guys ini. Entah kenapa makin ksini radit bkin film gapernah bener. Lucu juga nggak. Jalan cerita juga gadapet...,kecewa parah nonton film the guys kesini radit bkin film bener lucu jalan cerita gadapet
88,89,negative,"Agak kecewa sama film Danur, diluar ekspektasi :(",kecewa film danur luar ekspektasi
89,90,negative,Ancur bgt itu film. Jelekk,hancur banget film jelekk
90,91,negative,Flm nya jelekk bingittsss.,flm nya jelekk
91,92,negative,"Film hangout kok biasa aja sih, malah gak jelas sepertinya. Kecewaa",film hangout kecewaa
92,93,negative,Ternyata ending film kamar 207 jelekk,ending film kamar jelekk
93,94,negative,Filmnya aja ngehek...... ini seriesnya ngehek juga ga,film ngehek seriesnya ngehek
94,95,negative,Kurang suka sama film #pesbukers cewe2 terllu terbuka penampilannya. Kurang baik klo di tonton anak kecil,suka film pesbukers cewek buka tampil tonton anak
95,96,negative,Buried ini film budget termurah dengan tingkat depresi tertinggi,buried film budget murah tingkat depresi tinggi
96,97,negative,"lalu setelah film berakhir, mikir ''ngapain nonton film yang isinya anak sma semua..'' terus agak nyesel :(",film berfikir ngapain nonton film isi anak sma sesal
97,98,negative,"Gila, film Britney Ever After jelek banget parah! Nyesel nonton walau gak sampe abis.",gila film britney ever jelek banget parah sesal nonton habis
98,99,negative,"Film danur nggak seperti novelnya. Harapan lebih serem ternyata cuman bikin boring. Sorry teh, tapi novelnya lebih bagus :)",film danur novel harap rem bikin bosan sorry teh novel bagus
99,100,negative,ga bakal gua nonton film setan indonesia thur. mengecewakan semua. murahan cuma ngandelin sex,nonton film setan indonesia thur kecewa murah ngandelin sex
100,101,positive,"Keren bang flm lo @radityadika persahabatan, keluarga dan cinta kentel banget. Tokoh pemain pas semua keren bang",keren bang flm radityadika sahabat keluarga cinta banget tokoh main pas keren bang
101,102,positive,"Habis nonton film Kong: Skull Island 2017. Lumayan greget filmnya, 7.5 deh.. layak buat nobar",habis nonton film kong skull island lumayan film deh layak nobar
102,103,positive,"Bravo untuk #filmkartini! Pemainnya bagus, sudut pandang ceritanya pun menarik. Film yang penting untuk ditonton perempuan dan juga lelaki.",bravo filmkartini main bagus sudut pandang cerita tarik film tonton perempuan lelaki
103,104,positive,Abis nonton film #kartini. Bagussss bgt! Dr awal sampe akhir haruuuu,habis nonton film kartini bagussss banget haruuuu
104,105,positive,#RomanHarusBertahan bangga menyukai film yg mengandung bnyak makna sperti ini.. @RompisRepost @LayarDrama_RCTI,romanharusbertahan bangga suka film kandung bnyak makna sperti rompisrepost layardrama rcti
105,106,positive,"Tiga kata untuk film #danur : cukup, dramatis dan laris.",film danur dramatis laris
106,107,positive,Film kartini.. Meski aku agak telat nontonnya. film ini bagus banget...kalian sukses mendeliver cerita dan pesan.. good job guys... ,film kartini telat nontonnya film bagus bangetkalian sukses mendeliver cerita pesan good job guys
107,108,positive,Aku menangis di akhir film kartini #banggafilmindonesia,menang film kartini banggafilmindonesia
108,109,positive,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh",pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop bikin susah loh
109,110,positive,"film divergent seru-_- ah kenapa udh selesai sih-,-",film divergent seru selesai
110,111,positive,"Tentang Get Out. kalo masih ada, cepetan nonton. mending nonton ini dulu daripada Fast Furious 8 http://tz.ucweb.com/4_OaOo ",get out cepetan nonton mending nonton fast furious
